country,country_code,year, tourism_receipts ,tourism_arrivals,tourism_exports,tourism_departures,tourism_expenditures, gdp ,inflation,unemployment
Aruba,ABW,1999," $782,000,000 ",972000,62.54294918,,9.495387383," $1,722,905,027.93 ",2.280371983,
Africa Eastern and Southern,AFE,1999," $8,034,209,108 ",15309377.84,12.20403008,,7.760536001," $265,429,291,101.26 ",7.819864776,
Afghanistan,AFG,1999,,,,,,,,
Africa Western and Central,AFW,1999," $1,443,612,847 ",3897975.031,3.97447599,,6.147291409," $139,468,349,993.67 ",0.37226617,
Angola,AGO,1999," $31,000,000 ",45000,0.583858021,,2.489638196," $6,152,923,310.45 ",248.1959024,
Albania,ALB,1999," $218,000,000 ",371000,55.96919127,,3.699006553," $3,212,121,650.98 ",0.389437654,18.4
Andorra,AND,1999,,9422000,,,," $1,240,295,198.78 ",,
Arab World,ARB,1999,,,,,," $665,415,371,173.92 ",2.669373691,
United Arab Emirates,ARE,1999," $893,000,000 ",,,,," $84,445,473,110.96 ",,
Argentina,ARG,1999," $3,175,000,000 ",2898000,11.34037167,,15.88909157," $283,523,000,000.00 ",,14.05
Armenia,ARM,1999," $47,000,000 ",41000,12.1823925,,5.645567294," $1,845,482,173.03 ",0.64824576,11.2
American Samoa,ASM,1999,,41000,,,,,,
Antigua and Barbuda,ATG,1999,,560000,,,," $835,514,814.81 ",1.121287896,
Australia,AUS,1999," $11,408,000,000 ",4459000,15.24722781,3210000,10.36246439," $389,652,212,056.65 ",1.483129403,6.876
Austria,AUT,1999," $12,358,000,000 ",17467000,,,," $216,421,809,125.92 ",0.568993766,4.699
Azerbaijan,AZE,1999," $93,000,000 ",602000,7.254171344,1204000,7.766451847," $4,581,248,566.50 ",-8.525170005,16.25
Burundi,BDI,1999," $1,200,000 ",26000,2.019364359,27000,," $808,077,223.37 ",3.385424273,14
Belgium,BEL,1999,,6369000,,6410000,," $258,245,733,221.47 ",1.120848234,8.649
Benin,BEN,1999," $94,400,002 ",941000,15.77208897,,7.404819888," $3,677,393,998.74 ",0.326722893,
Burkina Faso,BFA,1999,,117000,,,," $3,389,566,712.66 ",-1.072613628,
Bangladesh,BGD,1999,,173000,,1103000,4.198276068," $51,270,569,883.53 ",6.106695898,
Bulgaria,BGR,1999," $1,184,000,000 ",5056000,20.43220055,2376000,11.38461776," $13,627,325,461.17 ",2.573042819,14.1
Bahrain,BHR,1999," $785,000,000 ",3280000,15.03340351,,9.475277924," $7,528,469,148.94 ",-1.287587972,
"Bahamas, The",BHS,1999," $1,598,000,000 ",3648000,72.39286038,,11.87375517," $7,683,870,000.00 ",1.25424826,7.45
Bosnia and Herzegovina,BIH,1999," $258,000,000 ",147000,19.91561452,,2.288508016," $4,686,256,363.05 ",,
Belarus,BLR,1999," $92,000,000 ",,1.437567386,,1.998437312," $12,138,243,080.63 ",293.6787509,2.1
Belize,BLZ,1999,,340000,,,8.295792108," $1,000,250,000.00 ",2.621395246,12.84
Bermuda,BMU,1999,,549000,,,," $3,324,433,000.00 ",,
Bolivia,BOL,1999," $124,000,000 ",342000,9.461315428,253000,5.883240308," $8,285,064,434.57 ",2.159516268,3.93
Brazil,BRA,1999," $1,718,000,000 ",5107000,3.152582716,2863000,5.506541599," $599,642,024,319.53 ",4.858447499,11.125
Barbados,BRB,1999," $734,000,000 ",947000,58.10803471,,9.759386551," $2,951,822,204.54 ",1.560062402,10.61
Brunei Darussalam,BRN,1999,,967000,,,," $6,309,070,374.84 ",-0.415627598,
Bhutan,BTN,1999," $9,000,000 ",7199.999809,,,," $399,311,199.51 ",6.776993936,1.4
Botswana,BWA,1999," $239,000,000 ",1039000,7.995001632,,6.481253459," $5,484,263,346.88 ",7.749296192,
Central African Republic,CAF,1999," $8,000,000 ",10000,,,," $999,477,510.69 ",-1.414202201,
Canada,CAN,1999," $12,024,000,000 ",49055000,4.245032332,,5.401847312," $678,412,196,271.12 ",1.734842951,7.583
Central Europe and the Baltics,CEB,1999," $20,282,583,054 ",200062962,14.13286692,103358915.2,6.427369692," $435,931,046,765.37 ",4.019138756,10.41708659
Switzerland,CHE,1999," $9,135,000,000 ",7154000,7.515140053,,7.225002707," $297,873,643,323.13 ",0.806444381,3.053
Channel Islands,CHI,1999,,,,,," $6,262,740,656.85 ",,
Chile,CHL,1999," $1,243,000,000 ",,5.91024855,,5.335734831," $75,578,685,735.52 ",3.336879175,11.158
China,CHN,1999," $15,006,000,000 ",72796000,10.01174241,9232000,9.745645447," $1,094,003,874,937.34 ",-1.401472683,3.1
Cote d'Ivoire,CIV,1999," $107,000,000 ",,,,," $18,870,992,455.57 ",0.702375806,
Cameroon,CMR,1999," $92,000,000 ",,4.222945635,,9.370733655," $11,565,826,464.89 ",1.871745007,
"Congo, Dem. Rep.",COD,1999,,80000,,50000,," $4,711,259,427.27 ",284.8949759,
"Congo, Rep.",COG,1999," $13,500,000 ",,0.79098012,,5.101449442," $2,354,772,960.28 ",4.142671373,
Colombia,COL,1999," $1,231,000,000 ",725000,8.830446897,1098000,10.01583669," $86,278,947,636.96 ",10.87368709,20.06
Comoros,COM,1999," $19,000,000 ",24000,,,," $382,454,989.95 ",,
